orgao_sup;setor;chave;id;cargo;funcao;nivel;instr;area;inst_ensino;inst_origem;car_pub;partido;cargo_ele;lid_part;exp_adm;exp_car;exp_mer;exp_soc;UF*;partido_pr;partido_ministro;indicacao;entrada;saida;perm
mapa;sda;Agro-SDA-CGI3;JMNO;Coordenador-Geral de Inspeção;DAS;4;especializacao;veterinaria;UFPB;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;29/02/2012;25/09/2013;19,1
mapa;sda;Agro-SDA-CGPE4;AMSI;Coordenador-Geral de Programas Especiais;DAS;4;superior;veterinaria;NA;NA;SE_INT;NA;0;0;1;1;NA;NA;DF;PT;MDB;Rousseff;11/07/2012;01/02/2013;6,8
mapa;sda;Agro-SDA-CGPE5;ACAN;Coordenador-Geral de Programas Especiais;DAS;4;NA;NA;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;MDB;Rousseff;01/03/2013;18/09/2013;6,7
mapa;sda;Agro-SDA-DIPOV2;RCCJ;Diretor de Inspeção de Produtos de Origem Vegetal;DAS;5;NA;NA;NA;NA;SE_INT;NA;0;0;1;5;NA;NA;DF;PT;MDB;Rousseff;11/10/2012;28/07/2014;21,8
mapa;sda;Agro-SDA-CGVB2;AANV;Coordenador-Geral de Vinhos e Bebidas;DAS;4;especializacao;agronomia;UFG;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;09/10/2012;10/06/2014;20,3
mapa;sda;Agro-SDA-CGCD3;DEMC;Coordenador-Geral de Combate às Doenças;DAS;4;superior;veterinaria;NA;NA;SE_INT;NA;0;0;1;5;NA;NA;DF;PT;MDB;Rousseff;29/05/2012;28/07/2015;38,5
mapa;sda;Agro-SDA-S3;RPLF;Secretário de Defesa Agropecuária;DAS;6;superior;direito;NA;NA;OUTRO;NA;0;0;1;5;NA;NA;DF;PT;MDB;Rousseff;14/08/2013;09/02/2015;18,1
mapa;sda;Agro-SDA-CGSVA3;MBVA;Coordenador-Geral do Sistema de Vigilância Agropecuária;DAS;4;superior;agronomia;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;MDB;Rousseff;17/09/2013;05/03/2016;30
mapa;sda;Agro-SDA-CGAL3;ABBU;Coordenador-Geral de Apoio Laboratorial;DAS;4;especializacao;veterinaria;UFF;publica;SE_INT;NA;0;0;1;3;0;1;NA;PT;MDB;Rousseff;02/12/2013;03/10/2014;10,2
mapa;sda;Agro-SDA-CGAL4;LBCA;Coordenador-Geral de Apoio Laboratorial;DAS;4;doutorado;veterinaria;UFF;publica;SE_INT;NA;0;0;1;1;1;NA;DF;PT;MDB;Rousseff;09/10/2014;26/08/2015;10,7
mapa;sda;Agro-SDA-DFIP4;MVSL;Diretor de Fiscalização de Insumos Pecuários;DAS;5;mestrado;veterinaria;UFLA;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;14/10/2013;15/04/2015;18,3
mapa;sda;Agro-SDA-CGAA2;JSBR;Coordenador-Geral de Agrotóxicos e Afins;DAS;4;NA;NA;NA;NA;SE_INT;MDB;0;0;1;3;1;NA;DF;PT;MDB;Rousseff;12/12/2013;19/10/2016;34,7
mapa;sda;Agro-SDA-DIPOA3;FBTU;Diretor de Inspeção de Produtos de Origem Animal;DAS;5;superior;veterinaria;UFPR;publica;SVE;NA;0;0;0;0;1;NA;NA;PT;MDB;Rousseff;23/08/2013;24/09/2013;1,1
mapa;sda;Agro-SDA-DIPOA4;JNBR;Diretor de Inspeção de Produtos de Origem Animal ;DAS;5;superior;veterinaria;NA;NA;SE_INT;NA;0;0;1;1;NA;MS;;PT;MDB;Rousseff;14/10/2013;03/12/2013;1,7
mapa;sda;Agro-SDA-CGI4;LUMA;Coordenador-Geral de Inspeção;DAS;4;especializacao;veterinaria;UFMS;publica;SE_INT;PSDB;0;0;1;0;0;1;DF;PT;MDB;Rousseff;19/12/2013;15/05/2015;17,1
mapa;sda;Agro-SDA-DIPOA-CGPE6;LDFE;Coordenador-Geral de Programas Especiais;DAS;4;mestrado;veterinaria;UFMG;publica;SE_INT;NA;0;0;1;3;1;NA;DF;PT;MDB;Rousseff;14/10/2013;28/04/2014;6,5
mapa;sda;Agro-SDA-DIPOA-CGPE7;CAVS;Coordenador-Geral de Programas Especiais;DAS;4;superior;veterinaria;UFPR;publica;SE_INT;NA;0;0;1;3;1;NA;DF;PT;MDB;Rousseff;05/05/2014;08/06/2015;13,3
mapa;sda;Agro-SDA-DIPOA5;LDFE;Diretor de Inspeção de Produtos de Origem Animal ;DAS;5;mestrado;veterinaria;UFMG;publica;SE_INT;NA;0;0;1;3;1;NA;DF;PT;MDB;Rousseff;28/04/2014;18/03/2015;10,8
mapa;sda;Agro-SDA-DIPOV3;FFFE;Diretor de Inspeção de Produtos de Origem Vegetal;DAS;5;especializacao;agronomia;ESAC;privada;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;28/07/2014;07/02/2019;55,2
mapa;sda;Agro-SDA-CGVB3;HEMB;Coordenador-Geral de Vinhos e Bebidas;DAS;4;superior;NA;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;MDB;Rousseff;10/06/2014;26/08/2015;14,7
mapa;sda;Agro-SDA-CGQV2;MVMP; Coordenador-Geral de Qualidade Vegetal;DAS;4;superior;agronomia;URPE;publica;SE_INT;NA;0;0;1;0;0;NA;;PT;MDB;Rousseff;29/11/2013;09/04/2014;4,4
mapa;sda;Agro-SDA-CGQV3;FFFE; Coordenador-Geral de Qualidade Vegetal;DAS;4;especializacao;agronomia;ESAC;privada;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;09/04/2014;30/07/2014;3,7
mapa;sda;Agro-SDA-CGQV4;FCPA;Coordenador-Geral de Qualidade Vegetal;DAS;4;doutorado;agronomia;UFV;publica;SE_INT;NA;0;0;1;0;0;NA;MG;PT;MDB;Rousseff;21/08/2014;28/07/2015;11,4
mapa;sda;Agro-SDA-DSV2;LEPR;Diretor de Sanidade Vegetal;DAS;5;mestrado;agronomia;UnB;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;27/11/2013;12/01/2016;25,9
mapa;sda;Agro-SDA-CGPP2;MVSC;Coordenador-Geral de Proteção de Plantas;DAS;4;mestrado;agronomia;UnB;publica;SE_INT;NA;0;0;1;3;0;NA;DF;PT;MDB;Rousseff;18/08/2014;16/03/2016;19,2
mapa;sda;Agro-SDA-S4;DACO;Secretário de Defesa Agropecuária;DAS;6;especializacao;veterinaria;UFF;publica;OUTRO;NA;0;0;1;NA;1;1;MT;PT;MDB;Rousseff;09/02/2015;03/12/2015;9,9
mapa;sda;Agro-SDA-CGAI1;DLGC;Coordenador-Geral de Articulação Interna;DAS;4;superior;veterinaria;NA;NA;SVE;PSB;0;0;0;0;1;5;DF;PT;MDB;Rousseff;28/07/2015;08/06/2016;10,5
mapa;sda;Agro-SDA-CGSVA4;ECSO;Coordenador-Geral do Sistema de Vigilância Agropecuária;DAS;4;especializacao;agronomia;UFMT;publica;SE_INT;NA;0;0;1;1;1;NA;DF;PT;MDB;Rousseff;13/03/2015;28/07/2016;16,8
mapa;sda;Agro-SDA-CGLA1;LBCA;Coordenador-Geral de Laboratórios Agropecuários;DAS;4;doutorado;veterinaria;UFF;publica;SE_INT;NA;0;0;1;3;1;NA;DF;PT;MDB;Rousseff;26/08/2015;04/03/2016;6,4
mapa;sda;Agro-SDA-CGGO1;PVVE;Coordenador-Geral de Gestão de Operações;DAS;4;doutorado;fisica;UnB;publica;VINC;NA;0;0;1;3;0;1;DF;PT;MDB;Rousseff;19/08/2015;08/06/2016;9,8
mapa;sda;Agro-SDA-CGSE1;JOCJ;Coordenador-Geral de Suporte Estratégico;DAS;4;doutorado;veterinaria;UFV;publica;SE_INT;NA;0;0;1;5;1;1;DF;PT;MDB;Rousseff;28/07/2015;08/06/2016;10,5
mapa;sda;Agro-SDA-DFIP5;MARO;Diretor de Fiscalização de Insumos Pecuários;DAS;5;superior;veterinaria;NA;NA;SE_INT;NA;0;0;1;5;NA;NA;DF;PT;MDB;Rousseff;03/06/2015;28/07/2016;14
mapa;sda;Agro-SDA-DIPOA6;JLRV;Diretor de Inspeção de Produtos de Origem Animal;DAS;5;especializacao;veterinaria;UNESP;publica;SE_INT;NA;0;0;1;5;1;NA;DF;PT;MDB;Rousseff;18/03/2015;14/06/2018;39,5
mapa;sda;Agro-SDA-CGSBIPOA1;ROFI;Coordenador-Geral do Sistema Brasileiro de Inspeção de Produtos de Origem Animal;DAS;4;especializacao;veterinaria;UMESP;privada;SE_INT;PSDB;0;0;1;1;1;1;SP;PT;MDB;Rousseff;15/05/2015;03/05/2016;11,8
